doc_id,tag_dwg,equipment_type,doc_type,title,rev,rev_date,file_path
100-PID-001,101-E-001,exchanger,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-E-002,exchanger,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-E-003,exchanger,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-E-004,exchanger,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-E-015,exchanger,PID,Unit 100 crude preheat train P&ID,B,2019-04-15,docs/100-PID-001_revB.pdf
100-PID-001,101-E-006,exchanger,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-P-001A,pump,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-P-001B,pump,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-001,101-FV-001,control_valve,PID,Unit 100 crude preheat train P&ID,C,2023-11-02,docs/100-PID-001_revC.pdf
100-PID-002,101-V-001,vessel,PID,Unit 100 desalter P&ID,B,2022-06-18,docs/100-PID-002_revB.pdf
100-PID-002,101-P-002A,pump,PID,Unit 100 desalter P&ID,B,2022-06-18,docs/100-PID-002_revB.pdf
100-PID-002,101-P-002B,pump,PID,Unit 100 desalter P&ID,B,2022-06-18,docs/100-PID-002_revB.pdf
100-PID-002,101-TV-001,control_valve,PID,Unit 100 desalter P&ID,B,2022-06-18,docs/100-PID-002_revB.pdf
100-PID-002,101-PSV-103,psv,PID,Unit 100 desalter P&ID,B,2022-06-18,docs/100-PID-002_revB.pdf
100-PID-003,101-H-001,heater,PID,Unit 100 fired heater P&ID,C,2024-02-11,docs/100-PID-003_revC.pdf
100-PID-003,101-PSV-102,psv,PID,Unit 100 fired heater P&ID,C,2024-02-11,docs/100-PID-003_revC.pdf
100-PID-003,101-PV-002,control_valve,PID,Unit 100 fired heater P&ID,C,2024-02-11,docs/100-PID-003_revC.pdf
100-PID-004,101-E-007,exchanger,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-E-008A,exchanger,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-D-001,vessel,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-P-003A,pump,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-P-003B,pump,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-LV-001,control_valve,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-PV-001,control_valve,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-PSV-101,psv,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-004,101-PSV-104,psv,PID,Unit 100 column overhead P&ID,D,2024-08-20,docs/100-PID-004_revD.pdf
100-PID-005,101-C-001,column,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-E-010,exchanger,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-E-012,exchanger,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,103-D-012,vessel,PID,Unit 100 column bottoms P&ID,B,2018-10-07,docs/100-PID-005_revB.pdf
100-PID-005,101-D-003,vessel,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-D-004,vessel,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-P-004A,pump,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-P-004B,pump,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-LV-002,control_valve,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-FV-002,control_valve,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-PSV-105,psv,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-005,101-PSV-106,psv,PID,Unit 100 column bottoms P&ID,C,2023-09-14,docs/100-PID-005_revC.pdf
100-PID-006,101-E-009,exchanger,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-PID-006,101-E-011,exchanger,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-PID-006,101-P-005A,pump,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-PID-006,101-P-005B,pump,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-PID-006,101-P-006A,pump,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-PID-006,101-P-006B,pump,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-PID-006,101-FV-003,control_valve,PID,Unit 100 product rundown P&ID,B,2021-12-03,docs/100-PID-006_revB.pdf
100-DS-E-101,101-E-001,exchanger,DATASHEET,Crude/atmospheric residue preheat exchanger #1 datasheet,B,2007-05-12,docs/100-DS-E-101_revB.pdf
100-ISO-E-101,101-E-001,exchanger,ISO,E-101 isometric,A,2005-08-01,docs/100-ISO-E-101_revA.pdf
100-GA-E-101,101-E-001,exchanger,GA,E-101 general arrangement,A,2005-08-01,docs/100-GA-E-101_revA.pdf
100-DS-E-102,101-E-002,exchanger,DATASHEET,Crude/atmospheric residue preheat exchanger #2 datasheet,C,2012-05-12,docs/100-DS-E-102_revC.pdf
100-ISO-E-102,101-E-002,exchanger,ISO,E-102 isometric,A,2010-08-01,docs/100-ISO-E-102_revA.pdf
100-GA-E-102,101-E-002,exchanger,GA,E-102 general arrangement,A,2010-08-01,docs/100-GA-E-102_revA.pdf
100-DS-E-103,101-E-003,exchanger,DATASHEET,Crude/kerosene pumparound preheat exchanger #3 datasheet,C,2017-05-12,docs/100-DS-E-103_revC.pdf
100-ISO-E-103,101-E-003,exchanger,ISO,E-103 isometric,A,2015-08-01,docs/100-ISO-E-103_revA.pdf
100-GA-E-103,101-E-003,exchanger,GA,E-103 general arrangement,A,2015-08-01,docs/100-GA-E-103_revA.pdf
100-DS-E-104,101-E-004,exchanger,DATASHEET,Crude/diesel pumparound preheat exchanger #4 datasheet,C,2014-05-12,docs/100-DS-E-104_revC.pdf
100-ISO-E-104,101-E-004,exchanger,ISO,E-104 isometric,A,2012-08-01,docs/100-ISO-E-104_revA.pdf
100-GA-E-104,101-E-004,exchanger,GA,E-104 general arrangement,A,2012-08-01,docs/100-GA-E-104_revA.pdf
100-DS-E-105,101-E-015,exchanger,DATASHEET,Crude/AGO product preheat exchanger #5 datasheet,B,2008-05-12,docs/100-DS-E-105_revB.pdf
100-ISO-E-105,101-E-015,exchanger,ISO,E-105 isometric,A,2006-08-01,docs/100-ISO-E-105_revA.pdf
100-GA-E-105,101-E-015,exchanger,GA,E-105 general arrangement,A,2006-08-01,docs/100-GA-E-105_revA.pdf
100-DS-E-106,101-E-006,exchanger,DATASHEET,Crude/atmospheric residue preheat exchanger #6 datasheet,C,2016-05-12,docs/100-DS-E-106_revC.pdf
100-ISO-E-106,101-E-006,exchanger,ISO,E-106 isometric,A,2014-08-01,docs/100-ISO-E-106_revA.pdf
100-GA-E-106,101-E-006,exchanger,GA,E-106 general arrangement,A,2014-08-01,docs/100-GA-E-106_revA.pdf
100-DS-E-107,101-E-007,exchanger,DATASHEET,Overhead naphtha condenser datasheet,C,2014-05-12,docs/100-DS-E-107_revC.pdf
100-ISO-E-107,101-E-007,exchanger,ISO,E-107 isometric,A,2012-08-01,docs/100-ISO-E-107_revA.pdf
100-GA-E-107,101-E-007,exchanger,GA,E-107 general arrangement,A,2012-08-01,docs/100-GA-E-107_revA.pdf
100-DS-E-108,101-E-008A,exchanger,DATASHEET,Overhead trim condenser (two-bundle) datasheet,B,2004-05-12,docs/100-DS-E-108_revB.pdf
100-ISO-E-108,101-E-008A,exchanger,ISO,E-108 isometric,A,2002-08-01,docs/100-ISO-E-108_revA.pdf
100-GA-E-108,101-E-008A,exchanger,GA,E-108 general arrangement,A,2002-08-01,docs/100-GA-E-108_revA.pdf
100-DS-E-109,101-E-009,exchanger,DATASHEET,Naphtha/crude interchanger datasheet,B,2001-05-12,docs/100-DS-E-109_revB.pdf
100-ISO-E-109,101-E-009,exchanger,ISO,E-109 isometric,A,1999-08-01,docs/100-ISO-E-109_revA.pdf
100-GA-E-109,101-E-009,exchanger,GA,E-109 general arrangement,A,1999-08-01,docs/100-GA-E-109_revA.pdf
100-DS-E-110,101-E-010,exchanger,DATASHEET,Kerosene stripper reboiler datasheet,C,2011-05-12,docs/100-DS-E-110_revC.pdf
100-ISO-E-110,101-E-010,exchanger,ISO,E-110 isometric,A,2009-08-01,docs/100-ISO-E-110_revA.pdf
100-GA-E-110,101-E-010,exchanger,GA,E-110 general arrangement,A,2009-08-01,docs/100-GA-E-110_revA.pdf
100-DS-E-111,101-E-011,exchanger,DATASHEET,Diesel product / BFW exchanger datasheet,B,2006-05-12,docs/100-DS-E-111_revB.pdf
100-ISO-E-111,101-E-011,exchanger,ISO,E-111 isometric,A,2004-08-01,docs/100-ISO-E-111_revA.pdf
100-GA-E-111,101-E-011,exchanger,GA,E-111 general arrangement,A,2004-08-01,docs/100-GA-E-111_revA.pdf
